Family	Species	Gene
KLMA_10830	Kmarx	KLMA_10830
KLMA_10831	Kmarx	KLMA_10831
KLMA_10832	Kmarx	KLMA_10832
KLMA_10834	Kmarx	KLMA_10834
KLMA_10836	Kmarx	KLMA_10836
KLMA_20004	Kmarx	KLMA_20004
KLMA_20005	Kmarx	KLMA_20005
KLMA_20006	Kmarx	KLMA_20006
KLMA_20007	Kmarx	KLMA_20007
KLMA_20008	Kmarx	KLMA_20008
KLMA_20009	Kmarx	KLMA_20009
KLMA_20011	Kmarx	KLMA_20011
KLMA_20012	Kmarx	KLMA_20012
KLMA_20015	Kmarx	KLMA_20015
KLMA_20016	Kmarx	KLMA_20016
KLMA_20017	Kmarx	KLMA_20017
KLMA_20018	Kmarx	KLMA_20018
KLMA_20019	Kmarx	KLMA_20019
KLMA_20021	Kmarx	KLMA_20021
KLMA_20022	Kmarx	KLMA_20022
KLMA_20023	Kmarx	KLMA_20023
KLMA_20024	Kmarx	KLMA_20024
KLMA_20025	Kmarx	KLMA_20025
KLMA_20026	Kmarx	KLMA_20026
KLMA_20028	Kmarx	KLMA_20028
KLMA_20029	Kmarx	KLMA_20029
KLMA_20030	Kmarx	KLMA_20030
KLMA_20031	Kmarx	KLMA_20031
KLMA_20032	Kmarx	KLMA_20032
KLMA_20033	Kmarx	KLMA_20033
KLMA_20035	Kmarx	KLMA_20035
KLMA_20036	Kmarx	KLMA_20036
KLMA_20037	Kmarx	KLMA_20037
KLMA_20038	Kmarx	KLMA_20038
KLMA_20039	Kmarx	KLMA_20039
KLMA_20040	Kmarx	KLMA_20040
KLMA_20041	Kmarx	KLMA_20041
KLMA_20042	Kmarx	KLMA_20042
KLMA_20045	Kmarx	KLMA_20045
KLMA_20046	Kmarx	KLMA_20046
KLMA_20047	Kmarx	KLMA_20047
KLMA_20048	Kmarx	KLMA_20048
KLMA_20049	Kmarx	KLMA_20049
KLMA_20050	Kmarx	KLMA_20050
KLMA_20051	Kmarx	KLMA_20051
KLMA_20053	Kmarx	KLMA_20053
KLMA_20054	Kmarx	KLMA_20054
KLMA_20056	Kmarx	KLMA_20056
KLMA_20058	Kmarx	KLMA_20058
KLMA_20059	Kmarx	KLMA_20059
KLMA_20060	Kmarx	KLMA_20060
KLMA_20061	Kmarx	KLMA_20061
KLMA_20062	Kmarx	KLMA_20062
KLMA_20063	Kmarx	KLMA_20063
KLMA_20067	Kmarx	KLMA_20067
KLMA_20068	Kmarx	KLMA_20068
KLMA_20069	Kmarx	KLMA_20069
KLMA_20074	Kmarx	KLMA_20074
KLMA_20075	Kmarx	KLMA_20075
KLMA_20076	Kmarx	KLMA_20076
KLMA_20077	Kmarx	KLMA_20077
KLMA_20078	Kmarx	KLMA_20078
KLMA_20079	Kmarx	KLMA_20079
KLMA_20080	Kmarx	KLMA_20080
KLMA_20081	Kmarx	KLMA_20081
KLMA_20083	Kmarx	KLMA_20083
KLMA_20084	Kmarx	KLMA_20084
KLMA_20085	Kmarx	KLMA_20085
KLMA_20086	Kmarx	KLMA_20086
KLMA_20087	Kmarx	KLMA_20087
KLMA_20088	Kmarx	KLMA_20088
KLMA_20092	Kmarx	KLMA_20092
KLMA_20093	Kmarx	KLMA_20093
KLMA_20094	Kmarx	KLMA_20094
KLMA_20095	Kmarx	KLMA_20095
KLMA_20096	Kmarx	KLMA_20096
KLMA_20098	Kmarx	KLMA_20098
KLMA_20099	Kmarx	KLMA_20099
KLMA_20100	Kmarx	KLMA_20100
KLMA_20102	Kmarx	KLMA_20102
KLMA_20105	Kmarx	KLMA_20105
KLMA_20106	Kmarx	KLMA_20106
KLMA_20108	Kmarx	KLMA_20108
KLMA_20109	Kmarx	KLMA_20109
KLMA_20110	Kmarx	KLMA_20110
KLMA_20111	Kmarx	KLMA_20111
KLMA_20112	Kmarx	KLMA_20112
KLMA_20113	Kmarx	KLMA_20113
KLMA_20114	Kmarx	KLMA_20114
KLMA_20115	Kmarx	KLMA_20115
KLMA_20116	Kmarx	KLMA_20116
KLMA_20117	Kmarx	KLMA_20117
KLMA_20118	Kmarx	KLMA_20118
KLMA_20120	Kmarx	KLMA_20120
KLMA_20121	Kmarx	KLMA_20121
KLMA_20123	Kmarx	KLMA_20123
KLMA_20125	Kmarx	KLMA_20125
KLMA_20126	Kmarx	KLMA_20126
KLMA_20128	Kmarx	KLMA_20128
KLMA_20129	Kmarx	KLMA_20129
KLMA_20130	Kmarx	KLMA_20130
KLMA_20132	Kmarx	KLMA_20132
KLMA_20133	Kmarx	KLMA_20133
KLMA_20135	Kmarx	KLMA_20135
KLMA_20136	Kmarx	KLMA_20136
KLMA_20137	Kmarx	KLMA_20137
KLMA_20138	Kmarx	KLMA_20138
KLMA_20139	Kmarx	KLMA_20139
KLMA_20140	Kmarx	KLMA_20140
KLMA_20143	Kmarx	KLMA_20143
KLMA_20145	Kmarx	KLMA_20145
KLMA_20146	Kmarx	KLMA_20146
KLMA_20147	Kmarx	KLMA_20147
KLMA_20148	Kmarx	KLMA_20148
KLMA_20149	Kmarx	KLMA_20149
KLMA_20150	Kmarx	KLMA_20150
KLMA_20151	Kmarx	KLMA_20151
KLMA_20153	Kmarx	KLMA_20153
KLMA_20155	Kmarx	KLMA_20155
KLMA_20156	Kmarx	KLMA_20156
KLMA_20157	Kmarx	KLMA_20157
KLMA_20158	Kmarx	KLMA_20158
KLMA_20159	Kmarx	KLMA_20159
KLMA_20160	Kmarx	KLMA_20160
KLMA_20161	Kmarx	KLMA_20161
KLMA_20162	Kmarx	KLMA_20162
KLMA_20165	Kmarx	KLMA_20165
KLMA_20166	Kmarx	KLMA_20166
KLMA_20168 KLMA_60119	Kmarx	KLMA_20168 KLMA_60119
KLMA_20169	Kmarx	KLMA_20169
KLMA_20170	Kmarx	KLMA_20170
KLMA_20171	Kmarx	KLMA_20171
KLMA_20172	Kmarx	KLMA_20172
KLMA_20173	Kmarx	KLMA_20173
KLMA_20174	Kmarx	KLMA_20174
KLMA_20175	Kmarx	KLMA_20175
KLMA_20179	Kmarx	KLMA_20179
KLMA_20180	Kmarx	KLMA_20180
KLMA_20181	Kmarx	KLMA_20181
KLMA_20184	Kmarx	KLMA_20184
KLMA_20187	Kmarx	KLMA_20187
KLMA_20188	Kmarx	KLMA_20188
KLMA_20189	Kmarx	KLMA_20189
KLMA_20190	Kmarx	KLMA_20190
KLMA_20191	Kmarx	KLMA_20191
KLMA_20192	Kmarx	KLMA_20192
KLMA_20193	Kmarx	KLMA_20193
KLMA_20195	Kmarx	KLMA_20195
KLMA_20196	Kmarx	KLMA_20196
KLMA_20199	Kmarx	KLMA_20199
KLMA_20202	Kmarx	KLMA_20202
KLMA_20203	Kmarx	KLMA_20203
KLMA_20204	Kmarx	KLMA_20204
KLMA_20205	Kmarx	KLMA_20205
KLMA_20206	Kmarx	KLMA_20206
KLMA_20207	Kmarx	KLMA_20207
KLMA_20208	Kmarx	KLMA_20208
KLMA_20209	Kmarx	KLMA_20209
KLMA_20210	Kmarx	KLMA_20210
KLMA_20211	Kmarx	KLMA_20211
KLMA_20212	Kmarx	KLMA_20212
KLMA_20213	Kmarx	KLMA_20213
KLMA_20214	Kmarx	KLMA_20214
KLMA_20215	Kmarx	KLMA_20215
KLMA_20217	Kmarx	KLMA_20217
KLMA_20218	Kmarx	KLMA_20218
KLMA_20219	Kmarx	KLMA_20219
KLMA_20220	Kmarx	KLMA_20220
KLMA_20221	Kmarx	KLMA_20221
KLMA_20223	Kmarx	KLMA_20223
KLMA_20224	Kmarx	KLMA_20224
KLMA_20225	Kmarx	KLMA_20225
KLMA_20227	Kmarx	KLMA_20227
KLMA_20228	Kmarx	KLMA_20228
KLMA_20229	Kmarx	KLMA_20229
KLMA_20230	Kmarx	KLMA_20230
KLMA_20231	Kmarx	KLMA_20231
KLMA_20232	Kmarx	KLMA_20232
KLMA_20233	Kmarx	KLMA_20233
KLMA_20234	Kmarx	KLMA_20234
KLMA_20236	Kmarx	KLMA_20236
KLMA_20237	Kmarx	KLMA_20237
KLMA_20239	Kmarx	KLMA_20239
KLMA_20240	Kmarx	KLMA_20240
KLMA_20241	Kmarx	KLMA_20241
KLMA_20242	Kmarx	KLMA_20242
KLMA_20243	Kmarx	KLMA_20243
KLMA_20244	Kmarx	KLMA_20244
KLMA_20246	Kmarx	KLMA_20246
KLMA_20247	Kmarx	KLMA_20247
KLMA_20248	Kmarx	KLMA_20248
KLMA_20250	Kmarx	KLMA_20250
KLMA_20252	Kmarx	KLMA_20252
KLMA_20253	Kmarx	KLMA_20253
KLMA_20254	Kmarx	KLMA_20254
KLMA_20256	Kmarx	KLMA_20256
KLMA_20258	Kmarx	KLMA_20258
KLMA_20259	Kmarx	KLMA_20259
KLMA_20260	Kmarx	KLMA_20260
KLMA_20262	Kmarx	KLMA_20262
KLMA_20263	Kmarx	KLMA_20263
KLMA_20264	Kmarx	KLMA_20264
KLMA_20265	Kmarx	KLMA_20265
KLMA_20267	Kmarx	KLMA_20267
KLMA_20268	Kmarx	KLMA_20268
KLMA_20270	Kmarx	KLMA_20270
KLMA_20272	Kmarx	KLMA_20272
KLMA_20273	Kmarx	KLMA_20273
KLMA_20274	Kmarx	KLMA_20274
KLMA_20276	Kmarx	KLMA_20276
KLMA_20277	Kmarx	KLMA_20277
KLMA_20278	Kmarx	KLMA_20278
KLMA_20280	Kmarx	KLMA_20280
KLMA_20281	Kmarx	KLMA_20281
KLMA_20282	Kmarx	KLMA_20282
KLMA_20283	Kmarx	KLMA_20283
KLMA_20285	Kmarx	KLMA_20285
KLMA_20286	Kmarx	KLMA_20286
KLMA_20288	Kmarx	KLMA_20288
KLMA_20289	Kmarx	KLMA_20289
KLMA_20290	Kmarx	KLMA_20290
KLMA_20293	Kmarx	KLMA_20293
KLMA_20294	Kmarx	KLMA_20294
KLMA_20296	Kmarx	KLMA_20296
KLMA_20297	Kmarx	KLMA_20297
KLMA_20298	Kmarx	KLMA_20298
KLMA_20299	Kmarx	KLMA_20299
KLMA_20300	Kmarx	KLMA_20300
KLMA_20301	Kmarx	KLMA_20301
KLMA_20302	Kmarx	KLMA_20302
KLMA_20304	Kmarx	KLMA_20304
KLMA_20305	Kmarx	KLMA_20305
KLMA_20306	Kmarx	KLMA_20306
KLMA_20307	Kmarx	KLMA_20307
KLMA_20308	Kmarx	KLMA_20308
KLMA_20309	Kmarx	KLMA_20309
KLMA_20310	Kmarx	KLMA_20310
KLMA_20311	Kmarx	KLMA_20311
KLMA_20312	Kmarx	KLMA_20312
KLMA_20314	Kmarx	KLMA_20314
KLMA_20316	Kmarx	KLMA_20316
KLMA_20317	Kmarx	KLMA_20317
KLMA_20318	Kmarx	KLMA_20318
KLMA_20319	Kmarx	KLMA_20319
KLMA_20320	Kmarx	KLMA_20320
KLMA_20322	Kmarx	KLMA_20322
KLMA_20323	Kmarx	KLMA_20323
KLMA_20324	Kmarx	KLMA_20324
KLMA_20326	Kmarx	KLMA_20326
KLMA_20327	Kmarx	KLMA_20327
KLMA_20329	Kmarx	KLMA_20329
KLMA_20330	Kmarx	KLMA_20330
KLMA_20331	Kmarx	KLMA_20331
KLMA_20332	Kmarx	KLMA_20332
KLMA_20333	Kmarx	KLMA_20333
KLMA_20335	Kmarx	KLMA_20335
KLMA_20336	Kmarx	KLMA_20336
KLMA_20337	Kmarx	KLMA_20337
KLMA_20339	Kmarx	KLMA_20339
KLMA_20340	Kmarx	KLMA_20340
KLMA_20341	Kmarx	KLMA_20341
KLMA_20342	Kmarx	KLMA_20342
KLMA_20343	Kmarx	KLMA_20343
KLMA_20344	Kmarx	KLMA_20344
KLMA_20346	Kmarx	KLMA_20346
KLMA_20347	Kmarx	KLMA_20347
KLMA_20348	Kmarx	KLMA_20348
KLMA_20349	Kmarx	KLMA_20349
KLMA_20350	Kmarx	KLMA_20350
KLMA_20351	Kmarx	KLMA_20351
KLMA_20352	Kmarx	KLMA_20352
KLMA_20353	Kmarx	KLMA_20353
KLMA_20354	Kmarx	KLMA_20354
KLMA_20356	Kmarx	KLMA_20356
KLMA_20357	Kmarx	KLMA_20357
KLMA_20359	Kmarx	KLMA_20359
KLMA_20360	Kmarx	KLMA_20360
KLMA_20362	Kmarx	KLMA_20362
KLMA_20363	Kmarx	KLMA_20363
KLMA_20364	Kmarx	KLMA_20364
KLMA_20366	Kmarx	KLMA_20366
KLMA_20367	Kmarx	KLMA_20367
KLMA_20369	Kmarx	KLMA_20369
KLMA_20370	Kmarx	KLMA_20370
KLMA_20372	Kmarx	KLMA_20372
KLMA_20373	Kmarx	KLMA_20373
KLMA_20374	Kmarx	KLMA_20374
KLMA_20376	Kmarx	KLMA_20376
KLMA_20381	Kmarx	KLMA_20381
KLMA_20383	Kmarx	KLMA_20383
KLMA_20385	Kmarx	KLMA_20385
KLMA_20386	Kmarx	KLMA_20386
KLMA_20387	Kmarx	KLMA_20387
KLMA_20388	Kmarx	KLMA_20388
KLMA_20389	Kmarx	KLMA_20389
KLMA_20390	Kmarx	KLMA_20390
KLMA_20393	Kmarx	KLMA_20393
KLMA_20394	Kmarx	KLMA_20394
KLMA_20395	Kmarx	KLMA_20395
KLMA_20396	Kmarx	KLMA_20396
KLMA_20397	Kmarx	KLMA_20397
KLMA_20398	Kmarx	KLMA_20398
KLMA_20399	Kmarx	KLMA_20399
KLMA_20400	Kmarx	KLMA_20400
KLMA_20403	Kmarx	KLMA_20403
KLMA_20405	Kmarx	KLMA_20405
KLMA_20406	Kmarx	KLMA_20406
KLMA_20407	Kmarx	KLMA_20407
KLMA_20408	Kmarx	KLMA_20408
KLMA_20409	Kmarx	KLMA_20409
KLMA_20410	Kmarx	KLMA_20410
KLMA_20411	Kmarx	KLMA_20411
KLMA_20412	Kmarx	KLMA_20412
KLMA_20413	Kmarx	KLMA_20413
KLMA_20414	Kmarx	KLMA_20414
KLMA_20415	Kmarx	KLMA_20415
KLMA_20417	Kmarx	KLMA_20417
KLMA_20418	Kmarx	KLMA_20418
KLMA_20419	Kmarx	KLMA_20419
KLMA_20422	Kmarx	KLMA_20422
KLMA_20423	Kmarx	KLMA_20423
KLMA_20424	Kmarx	KLMA_20424
KLMA_20425	Kmarx	KLMA_20425
KLMA_20426	Kmarx	KLMA_20426
KLMA_20428	Kmarx	KLMA_20428
KLMA_20429	Kmarx	KLMA_20429
KLMA_20430	Kmarx	KLMA_20430
KLMA_20432	Kmarx	KLMA_20432
KLMA_20433	Kmarx	KLMA_20433
KLMA_20434	Kmarx	KLMA_20434
KLMA_20436	Kmarx	KLMA_20436
KLMA_20437	Kmarx	KLMA_20437
KLMA_20439	Kmarx	KLMA_20439
KLMA_20440	Kmarx	KLMA_20440
KLMA_20442	Kmarx	KLMA_20442
KLMA_20443	Kmarx	KLMA_20443
KLMA_20444	Kmarx	KLMA_20444
KLMA_20445	Kmarx	KLMA_20445
KLMA_20446	Kmarx	KLMA_20446
KLMA_20447	Kmarx	KLMA_20447
KLMA_20448	Kmarx	KLMA_20448
KLMA_20449	Kmarx	KLMA_20449
KLMA_20450	Kmarx	KLMA_20450
KLMA_20451	Kmarx	KLMA_20451
KLMA_20452	Kmarx	KLMA_20452
KLMA_20454	Kmarx	KLMA_20454
KLMA_20457	Kmarx	KLMA_20457
KLMA_20459	Kmarx	KLMA_20459
KLMA_20462	Kmarx	KLMA_20462
KLMA_20463	Kmarx	KLMA_20463
KLMA_20464	Kmarx	KLMA_20464
KLMA_20465	Kmarx	KLMA_20465
KLMA_20466	Kmarx	KLMA_20466
KLMA_20467	Kmarx	KLMA_20467
KLMA_20468	Kmarx	KLMA_20468
KLMA_20470	Kmarx	KLMA_20470
KLMA_20471	Kmarx	KLMA_20471
KLMA_20473	Kmarx	KLMA_20473
KLMA_20474	Kmarx	KLMA_20474
KLMA_20475	Kmarx	KLMA_20475
KLMA_20476	Kmarx	KLMA_20476
KLMA_20478	Kmarx	KLMA_20478
KLMA_20479	Kmarx	KLMA_20479
KLMA_20480	Kmarx	KLMA_20480
KLMA_20482	Kmarx	KLMA_20482
KLMA_20483	Kmarx	KLMA_20483
KLMA_20484	Kmarx	KLMA_20484
KLMA_20485	Kmarx	KLMA_20485
KLMA_20486	Kmarx	KLMA_20486
KLMA_20487	Kmarx	KLMA_20487
KLMA_20488	Kmarx	KLMA_20488
KLMA_20490	Kmarx	KLMA_20490
KLMA_20491	Kmarx	KLMA_20491
KLMA_20492	Kmarx	KLMA_20492
KLMA_20493	Kmarx	KLMA_20493
KLMA_20495	Kmarx	KLMA_20495
KLMA_20497	Kmarx	KLMA_20497
KLMA_20498	Kmarx	KLMA_20498
KLMA_20499	Kmarx	KLMA_20499
KLMA_20500	Kmarx	KLMA_20500
KLMA_20501	Kmarx	KLMA_20501
KLMA_20502	Kmarx	KLMA_20502
KLMA_20503	Kmarx	KLMA_20503
KLMA_20508	Kmarx	KLMA_20508
KLMA_20509	Kmarx	KLMA_20509
KLMA_20511	Kmarx	KLMA_20511
KLMA_20512	Kmarx	KLMA_20512
KLMA_20513	Kmarx	KLMA_20513
KLMA_20514	Kmarx	KLMA_20514
KLMA_20515	Kmarx	KLMA_20515
KLMA_20517	Kmarx	KLMA_20517
KLMA_20518	Kmarx	KLMA_20518
KLMA_20521	Kmarx	KLMA_20521
KLMA_20524	Kmarx	KLMA_20524
KLMA_20525	Kmarx	KLMA_20525
KLMA_20526	Kmarx	KLMA_20526
KLMA_20527	Kmarx	KLMA_20527
KLMA_20528	Kmarx	KLMA_20528
KLMA_20529	Kmarx	KLMA_20529
KLMA_20530	Kmarx	KLMA_20530
KLMA_20532	Kmarx	KLMA_20532
KLMA_20533	Kmarx	KLMA_20533
KLMA_20534	Kmarx	KLMA_20534
KLMA_20537	Kmarx	KLMA_20537
KLMA_20538	Kmarx	KLMA_20538
KLMA_20539	Kmarx	KLMA_20539
KLMA_20540	Kmarx	KLMA_20540
KLMA_20542	Kmarx	KLMA_20542
KLMA_20543	Kmarx	KLMA_20543
KLMA_20544	Kmarx	KLMA_20544
KLMA_20545	Kmarx	KLMA_20545
KLMA_20546	Kmarx	KLMA_20546
KLMA_20549	Kmarx	KLMA_20549
KLMA_20550	Kmarx	KLMA_20550
KLMA_20551	Kmarx	KLMA_20551
KLMA_20552	Kmarx	KLMA_20552
KLMA_20553	Kmarx	KLMA_20553
KLMA_20554	Kmarx	KLMA_20554
KLMA_20555	Kmarx	KLMA_20555
KLMA_20556	Kmarx	KLMA_20556
KLMA_20558	Kmarx	KLMA_20558
KLMA_20559	Kmarx	KLMA_20559
KLMA_20560	Kmarx	KLMA_20560
KLMA_20561	Kmarx	KLMA_20561
KLMA_20562	Kmarx	KLMA_20562
KLMA_20564	Kmarx	KLMA_20564
KLMA_20565	Kmarx	KLMA_20565
KLMA_20566	Kmarx	KLMA_20566
KLMA_20568	Kmarx	KLMA_20568
KLMA_20571	Kmarx	KLMA_20571
KLMA_20572	Kmarx	KLMA_20572
KLMA_20573	Kmarx	KLMA_20573
KLMA_20574	Kmarx	KLMA_20574
KLMA_20575	Kmarx	KLMA_20575
KLMA_20577	Kmarx	KLMA_20577
KLMA_20578	Kmarx	KLMA_20578
KLMA_20579	Kmarx	KLMA_20579
KLMA_20581	Kmarx	KLMA_20581
KLMA_20582	Kmarx	KLMA_20582
KLMA_20584	Kmarx	KLMA_20584
KLMA_20586	Kmarx	KLMA_20586
KLMA_20587	Kmarx	KLMA_20587
KLMA_20591	Kmarx	KLMA_20591
KLMA_20592	Kmarx	KLMA_20592
KLMA_20594	Kmarx	KLMA_20594
KLMA_20596	Kmarx	KLMA_20596
KLMA_20597	Kmarx	KLMA_20597
KLMA_20598	Kmarx	KLMA_20598
KLMA_20600	Kmarx	KLMA_20600
KLMA_20601	Kmarx	KLMA_20601
KLMA_20602	Kmarx	KLMA_20602
KLMA_20603	Kmarx	KLMA_20603
KLMA_20604	Kmarx	KLMA_20604
KLMA_20608	Kmarx	KLMA_20608
KLMA_20609	Kmarx	KLMA_20609
KLMA_20610	Kmarx	KLMA_20610
KLMA_20611	Kmarx	KLMA_20611
KLMA_20612	Kmarx	KLMA_20612
KLMA_20613	Kmarx	KLMA_20613
KLMA_20614	Kmarx	KLMA_20614
KLMA_20619	Kmarx	KLMA_20619
KLMA_20620	Kmarx	KLMA_20620
KLMA_20621	Kmarx	KLMA_20621
KLMA_20622	Kmarx	KLMA_20622
KLMA_20623	Kmarx	KLMA_20623
KLMA_20624	Kmarx	KLMA_20624
KLMA_20625	Kmarx	KLMA_20625
KLMA_20626	Kmarx	KLMA_20626
KLMA_20627	Kmarx	KLMA_20627
KLMA_20628	Kmarx	KLMA_20628
KLMA_20629	Kmarx	KLMA_20629
KLMA_20630	Kmarx	KLMA_20630
KLMA_20631	Kmarx	KLMA_20631
KLMA_20632	Kmarx	KLMA_20632
KLMA_20634	Kmarx	KLMA_20634
KLMA_20635	Kmarx	KLMA_20635
KLMA_20636	Kmarx	KLMA_20636
KLMA_20637	Kmarx	KLMA_20637
KLMA_20638	Kmarx	KLMA_20638
KLMA_20639	Kmarx	KLMA_20639
KLMA_20640	Kmarx	KLMA_20640
KLMA_20641	Kmarx	KLMA_20641
KLMA_20642	Kmarx	KLMA_20642
KLMA_20643	Kmarx	KLMA_20643
KLMA_20644	Kmarx	KLMA_20644
KLMA_20646	Kmarx	KLMA_20646
KLMA_20647	Kmarx	KLMA_20647
KLMA_20649	Kmarx	KLMA_20649
KLMA_20650	Kmarx	KLMA_20650
KLMA_20652	Kmarx	KLMA_20652
KLMA_20653	Kmarx	KLMA_20653
KLMA_20654	Kmarx	KLMA_20654
KLMA_20655	Kmarx	KLMA_20655
KLMA_20656	Kmarx	KLMA_20656
KLMA_20657	Kmarx	KLMA_20657
KLMA_20659	Kmarx	KLMA_20659
KLMA_20661	Kmarx	KLMA_20661
KLMA_20662	Kmarx	KLMA_20662
KLMA_20663	Kmarx	KLMA_20663
KLMA_20664	Kmarx	KLMA_20664
KLMA_20666	Kmarx	KLMA_20666
KLMA_20667	Kmarx	KLMA_20667
KLMA_20668	Kmarx	KLMA_20668
KLMA_20669	Kmarx	KLMA_20669
KLMA_20670	Kmarx	KLMA_20670
KLMA_20671	Kmarx	KLMA_20671
KLMA_20672	Kmarx	KLMA_20672
KLMA_20673	Kmarx	KLMA_20673
KLMA_20674	Kmarx	KLMA_20674
KLMA_20675	Kmarx	KLMA_20675
KLMA_20676	Kmarx	KLMA_20676
KLMA_20677	Kmarx	KLMA_20677
KLMA_20679	Kmarx	KLMA_20679
KLMA_20681	Kmarx	KLMA_20681
KLMA_20682	Kmarx	KLMA_20682
KLMA_20683	Kmarx	KLMA_20683
KLMA_20687	Kmarx	KLMA_20687
KLMA_20688	Kmarx	KLMA_20688
KLMA_20689	Kmarx	KLMA_20689
KLMA_20690	Kmarx	KLMA_20690
KLMA_20691	Kmarx	KLMA_20691
KLMA_20692	Kmarx	KLMA_20692
KLMA_20693	Kmarx	KLMA_20693
KLMA_20694	Kmarx	KLMA_20694
KLMA_20695	Kmarx	KLMA_20695
KLMA_20696	Kmarx	KLMA_20696
KLMA_20698	Kmarx	KLMA_20698
KLMA_20699	Kmarx	KLMA_20699
KLMA_20700	Kmarx	KLMA_20700
KLMA_20701	Kmarx	KLMA_20701
KLMA_20702	Kmarx	KLMA_20702
KLMA_20703	Kmarx	KLMA_20703
KLMA_20704	Kmarx	KLMA_20704
KLMA_20706	Kmarx	KLMA_20706
KLMA_20707	Kmarx	KLMA_20707
KLMA_20708	Kmarx	KLMA_20708
KLMA_20709	Kmarx	KLMA_20709
KLMA_20711	Kmarx	KLMA_20711
KLMA_20712	Kmarx	KLMA_20712
KLMA_20713	Kmarx	KLMA_20713
KLMA_20714	Kmarx	KLMA_20714
KLMA_20715	Kmarx	KLMA_20715
KLMA_20717	Kmarx	KLMA_20717
KLMA_20720	Kmarx	KLMA_20720
KLMA_20722	Kmarx	KLMA_20722
KLMA_20723	Kmarx	KLMA_20723
KLMA_20725	Kmarx	KLMA_20725
KLMA_20726	Kmarx	KLMA_20726
KLMA_20727	Kmarx	KLMA_20727
KLMA_20729	Kmarx	KLMA_20729
KLMA_20731	Kmarx	KLMA_20731
KLMA_20732	Kmarx	KLMA_20732
KLMA_20733	Kmarx	KLMA_20733
KLMA_20734	Kmarx	KLMA_20734
KLMA_20735	Kmarx	KLMA_20735
KLMA_20736	Kmarx	KLMA_20736
KLMA_20737	Kmarx	KLMA_20737
KLMA_20738	Kmarx	KLMA_20738
KLMA_20739	Kmarx	KLMA_20739
KLMA_20741	Kmarx	KLMA_20741
KLMA_20742	Kmarx	KLMA_20742
KLMA_20744	Kmarx	KLMA_20744
KLMA_20745	Kmarx	KLMA_20745
KLMA_20747	Kmarx	KLMA_20747
KLMA_20749	Kmarx	KLMA_20749
KLMA_20750	Kmarx	KLMA_20750
KLMA_20751	Kmarx	KLMA_20751
KLMA_20752	Kmarx	KLMA_20752
KLMA_20753	Kmarx	KLMA_20753
KLMA_20755	Kmarx	KLMA_20755
KLMA_20756	Kmarx	KLMA_20756
KLMA_20759	Kmarx	KLMA_20759
KLMA_20760	Kmarx	KLMA_20760
KLMA_20761	Kmarx	KLMA_20761
KLMA_20762	Kmarx	KLMA_20762
KLMA_20764	Kmarx	KLMA_20764
KLMA_20766	Kmarx	KLMA_20766
KLMA_20768	Kmarx	KLMA_20768
KLMA_20770	Kmarx	KLMA_20770
KLMA_20771	Kmarx	KLMA_20771
KLMA_20773	Kmarx	KLMA_20773
KLMA_20774	Kmarx	KLMA_20774
KLMA_20775	Kmarx	KLMA_20775
KLMA_20777	Kmarx	KLMA_20777
KLMA_20778	Kmarx	KLMA_20778
KLMA_20779	Kmarx	KLMA_20779
KLMA_20781	Kmarx	KLMA_20781
KLMA_20783	Kmarx	KLMA_20783
KLMA_20784	Kmarx	KLMA_20784
KLMA_20785	Kmarx	KLMA_20785
KLMA_20786	Kmarx	KLMA_20786
KLMA_20787	Kmarx	KLMA_20787
KLMA_20788	Kmarx	KLMA_20788
KLMA_20790	Kmarx	KLMA_20790
KLMA_20791	Kmarx	KLMA_20791
KLMA_20792	Kmarx	KLMA_20792
KLMA_20795	Kmarx	KLMA_20795
KLMA_20796	Kmarx	KLMA_20796
KLMA_20797	Kmarx	KLMA_20797
KLMA_20798	Kmarx	KLMA_20798
KLMA_20800	Kmarx	KLMA_20800
KLMA_20801	Kmarx	KLMA_20801
KLMA_20803	Kmarx	KLMA_20803
KLMA_20804	Kmarx	KLMA_20804
KLMA_20805	Kmarx	KLMA_20805
KLMA_20806	Kmarx	KLMA_20806
KLMA_20807	Kmarx	KLMA_20807
KLMA_20808	Kmarx	KLMA_20808
KLMA_20809	Kmarx	KLMA_20809
KLMA_20810	Kmarx	KLMA_20810
KLMA_20811	Kmarx	KLMA_20811
KLMA_20812	Kmarx	KLMA_20812
KLMA_20813	Kmarx	KLMA_20813
KLMA_20814	Kmarx	KLMA_20814
KLMA_20815	Kmarx	KLMA_20815
KLMA_20816	Kmarx	KLMA_20816
KLMA_20817	Kmarx	KLMA_20817
KLMA_20818	Kmarx	KLMA_20818
KLMA_20821	Kmarx	KLMA_20821
KLMA_20824	Kmarx	KLMA_20824
KLMA_20825	Kmarx	KLMA_20825
KLMA_20826	Kmarx	KLMA_20826
KLMA_20827	Kmarx	KLMA_20827
KLMA_20828	Kmarx	KLMA_20828
KLMA_20829	Kmarx	KLMA_20829
KLMA_20830	Kmarx	KLMA_20830
KLMA_20831 KLMA_50635	Kmarx	KLMA_20831 KLMA_50635
KLMA_20832 KLMA_50636	Kmarx	KLMA_20832 KLMA_50636
KLMA_20833	Kmarx	KLMA_20833
KLMA_20834	Kmarx	KLMA_20834
KLMA_30004 KLMA_30006	Kmarx	KLMA_30004 KLMA_30006
KLMA_30008 KLMA_50004	Kmarx	KLMA_30008 KLMA_50004
